timestamp,ticker,side,entry_price,exit_price,pnl_pct,hold_time_minutes
2026-04-19T09:55:00+00:00,SOL/USDT,long,84.59,84.79,0.2364,50.0
2026-04-19T14:25:00+00:00,SOL/USDT,short,87.04,86.4,0.7353,40.0
2026-04-19T17:00:00+00:00,SOL/USDT,long,85.57,85.29,-0.3272,120.0
2026-04-19T19:15:00+00:00,SOL/USDT,short,85.53,85.15,0.4443,45.0
2026-04-19T20:40:00+00:00,SOL/USDT,long,84.86,85.11,0.2946,45.0
2026-04-19T21:50:00+00:00,SOL/USDT,long,84.75,83.62,-1.3333,120.0
2026-04-20T05:10:00+00:00,SOL/USDT,long,84.22,84.27,0.0594,80.0
2026-04-20T06:40:00+00:00,SOL/USDT,short,84.53,84.57,-0.0473,70.0
2026-04-20T12:20:00+00:00,SOL/USDT,short,85.45,85.01,0.5149,15.0
2026-04-20T14:20:00+00:00,SOL/USDT,short,85.6,84.78,0.9579,30.0
2026-04-20T14:50:00+00:00,SOL/USDT,long,84.78,85.4,0.7313,30.0
2026-04-20T21:00:00+00:00,SOL/USDT,short,86.09,85.81,0.3252,10.0
2026-04-20T23:00:00+00:00,SOL/USDT,long,85.47,85.45,-0.0234,70.0
2026-04-21T00:45:00+00:00,SOL/USDT,short,85.64,85.55,0.1051,50.0
2026-04-21T02:00:00+00:00,SOL/USDT,long,85.28,85.33,0.0586,85.0
2026-04-21T03:30:00+00:00,SOL/USDT,short,85.5,85.08,0.4912,5.0
2026-04-21T05:20:00+00:00,SOL/USDT,short,85.79,85.54,0.2914,50.0
2026-04-21T06:20:00+00:00,SOL/USDT,long,85.28,85.78,0.5863,10.0
2026-04-21T08:45:00+00:00,SOL/USDT,short,86.05,85.81,0.2789,10.0
2026-04-21T09:25:00+00:00,SOL/USDT,long,85.61,85.89,0.3271,30.0
2026-04-21T10:50:00+00:00,SOL/USDT,short,86.27,85.82,0.5216,20.0
2026-04-21T12:35:00+00:00,SOL/USDT,long,85.48,85.69,0.2457,65.0
2026-04-21T14:30:00+00:00,SOL/USDT,short,86.34,85.76,0.6718,25.0
2026-04-21T17:10:00+00:00,SOL/USDT,long,85.38,85.25,-0.1523,105.0
2026-04-21T19:40:00+00:00,SOL/USDT,long,84.37,85.04,0.7941,25.0
2026-04-22T00:15:00+00:00,SOL/USDT,short,86.39,86.13,0.301,60.0
2026-04-22T02:10:00+00:00,SOL/USDT,short,86.67,87.13,-0.5307,80.0
2026-04-22T05:15:00+00:00,SOL/USDT,short,87.75,87.82,-0.0798,90.0
2026-04-22T08:25:00+00:00,SOL/USDT,long,87.7,87.95,0.2851,25.0
2026-04-22T09:05:00+00:00,SOL/USDT,short,88.73,88.17,0.6311,60.0
2026-04-22T12:45:00+00:00,SOL/USDT,short,88.55,88.77,-0.2484,105.0
2026-04-22T16:20:00+00:00,SOL/USDT,long,87.84,87.88,0.0455,85.0
2026-04-22T19:00:00+00:00,SOL/USDT,long,87.55,87.31,-0.2741,130.0
2026-04-22T21:40:00+00:00,SOL/USDT,short,87.55,87.39,0.1828,35.0
2026-04-22T23:20:00+00:00,SOL/USDT,long,86.85,87.0,0.1727,70.0
2026-04-23T02:35:00+00:00,SOL/USDT,long,85.85,85.83,-0.0233,95.0
2026-04-23T05:00:00+00:00,SOL/USDT,short,86.09,85.74,0.4066,30.0
2026-04-23T05:35:00+00:00,SOL/USDT,long,85.59,85.99,0.4673,25.0
2026-04-23T07:50:00+00:00,SOL/USDT,long,85.86,85.59,-0.3145,130.0
2026-04-23T10:10:00+00:00,SOL/USDT,long,85.21,85.47,0.3051,50.0
2026-04-23T15:15:00+00:00,SOL/USDT,short,86.29,86.11,0.2086,70.0
2026-04-23T16:50:00+00:00,SOL/USDT,long,85.87,85.47,-0.4658,75.0
2026-04-23T23:10:00+00:00,SOL/USDT,long,85.75,86.05,0.3499,10.0
2026-04-24T01:05:00+00:00,SOL/USDT,long,85.94,86.23,0.3374,40.0
2026-04-24T03:20:00+00:00,SOL/USDT,long,85.6,85.45,-0.1752,140.0
2026-04-24T05:55:00+00:00,SOL/USDT,short,85.7,85.42,0.3267,40.0
2026-04-24T08:05:00+00:00,SOL/USDT,long,85.32,85.57,0.293,10.0
2026-04-24T08:20:00+00:00,SOL/USDT,short,85.62,85.38,0.2803,10.0
2026-04-24T09:05:00+00:00,SOL/USDT,long,85.05,85.34,0.341,35.0
2026-04-24T11:00:00+00:00,SOL/USDT,short,85.89,86.27,-0.4424,100.0
2026-04-24T13:50:00+00:00,SOL/USDT,long,85.98,86.19,0.2442,45.0
2026-04-24T15:05:00+00:00,SOL/USDT,long,85.7,85.96,0.3034,15.0
2026-04-24T15:40:00+00:00,SOL/USDT,short,86.38,86.19,0.22,65.0
2026-04-24T18:15:00+00:00,SOL/USDT,long,86.09,86.37,0.3252,15.0
2026-04-24T20:00:00+00:00,SOL/USDT,short,86.52,86.34,0.208,15.0
2026-04-24T20:30:00+00:00,SOL/USDT,short,86.59,86.57,0.0231,55.0
2026-04-25T00:10:00+00:00,SOL/USDT,long,86.11,86.22,0.1277,35.0
2026-04-25T05:00:00+00:00,SOL/USDT,long,86.16,86.26,0.1161,60.0
2026-04-25T06:30:00+00:00,SOL/USDT,short,86.39,86.31,0.0926,50.0
2026-04-25T08:25:00+00:00,SOL/USDT,short,86.59,86.58,0.0115,90.0
2026-04-25T11:00:00+00:00,SOL/USDT,long,86.51,86.43,-0.0925,80.0
2026-04-25T13:40:00+00:00,SOL/USDT,short,86.66,86.51,0.1731,35.0
2026-04-25T15:45:00+00:00,SOL/USDT,long,86.35,85.76,-0.6833,165.0
2026-04-25T21:00:00+00:00,SOL/USDT,short,86.0,85.85,0.1744,35.0
2026-04-25T22:30:00+00:00,SOL/USDT,short,86.17,86.12,0.058,95.0
2026-04-26T00:55:00+00:00,SOL/USDT,long,86.03,86.08,0.0581,45.0
2026-04-26T02:55:00+00:00,SOL/USDT,short,86.4,86.19,0.2431,25.0
2026-04-26T03:35:00+00:00,SOL/USDT,long,85.89,86.12,0.2678,40.0
2026-04-26T04:45:00+00:00,SOL/USDT,short,86.59,86.4,0.2194,65.0
2026-04-26T07:50:00+00:00,SOL/USDT,short,86.6,86.55,0.0577,55.0
2026-04-26T12:00:00+00:00,SOL/USDT,long,86.4,86.21,-0.2199,90.0
2026-04-26T18:10:00+00:00,SOL/USDT,short,86.69,86.76,-0.0807,85.0
2026-04-26T21:10:00+00:00,SOL/USDT,short,87.0,86.82,0.2069,5.0
2026-04-26T21:30:00+00:00,SOL/USDT,long,86.49,86.83,0.3931,25.0
2026-04-27T00:55:00+00:00,SOL/USDT,short,87.35,87.47,-0.1374,85.0
2026-04-27T02:50:00+00:00,SOL/USDT,short,87.98,87.72,0.2955,65.0
2026-04-27T08:25:00+00:00,SOL/USDT,long,85.11,85.38,0.3172,25.0
2026-04-27T12:35:00+00:00,SOL/USDT,long,84.95,85.17,0.259,10.0
2026-04-27T13:45:00+00:00,SOL/USDT,long,84.82,85.13,0.3655,5.0
2026-04-27T14:35:00+00:00,SOL/USDT,short,85.7,85.23,0.5484,20.0
2026-04-27T15:00:00+00:00,SOL/USDT,long,84.64,84.28,-0.4253,100.0
2026-04-27T19:15:00+00:00,SOL/USDT,long,84.39,84.29,-0.1185,80.0
2026-04-28T02:35:00+00:00,SOL/USDT,long,84.01,84.16,0.1786,75.0
2026-04-28T04:20:00+00:00,SOL/USDT,long,83.93,84.1,0.2025,25.0
2026-04-28T06:35:00+00:00,SOL/USDT,long,84.01,83.98,-0.0357,65.0
2026-04-28T09:45:00+00:00,SOL/USDT,long,83.64,83.79,0.1793,45.0
2026-04-28T11:15:00+00:00,SOL/USDT,long,83.57,83.64,0.0838,85.0
2026-04-28T19:50:00+00:00,SOL/USDT,short,83.98,83.84,0.1667,35.0
2026-04-28T23:35:00+00:00,SOL/USDT,short,83.93,83.87,0.0715,50.0
2026-04-29T03:15:00+00:00,SOL/USDT,short,84.51,84.81,-0.355,175.0
2026-04-29T08:05:00+00:00,SOL/USDT,long,84.55,84.61,0.071,65.0
2026-04-29T09:30:00+00:00,SOL/USDT,short,84.83,85.14,-0.3654,85.0
2026-04-29T12:20:00+00:00,SOL/USDT,long,84.24,83.58,-0.7835,225.0
2026-04-29T18:05:00+00:00,SOL/USDT,long,81.68,82.29,0.7468,70.0
2026-04-30T00:05:00+00:00,SOL/USDT,short,83.23,83.75,-0.6248,110.0
2026-04-30T04:30:00+00:00,SOL/USDT,long,82.47,82.63,0.194,60.0
